Running all from sudokus_start
It spend 0.4597 seconds
It spend 0.0508 seconds
It spend 0.0238 seconds
It spend 0.0116 seconds
It spend 0.0383 seconds
It spend 0.0536 seconds
It spend 0.0106 seconds
It spend 0.1937 seconds
It spend 0.0294 seconds
It spend 0.0119 seconds
It spend 0.0395 seconds
It spend 0.0048 seconds
It spend 0.0818 seconds
It spend 0.0252 seconds
It spend 0.0157 seconds
It spend 0.0113 seconds
It spend 0.0077 seconds
It spend 0.0152 seconds
It spend 0.0117 seconds
It spend 0.0417 seconds
It spend 0.0109 seconds
It spend 0.0092 seconds
It spend 0.0063 seconds
It spend 0.0417 seconds
It spend 0.0111 seconds
It spend 0.0167 seconds
It spend 0.0451 seconds
It spend 0.0156 seconds
It spend 0.0789 seconds
It spend 0.0070 seconds
It spend 0.0290 seconds
It spend 0.0176 seconds
It spend 0.0055 seconds
It spend 0.0543 seconds
It spend 0.0992 seconds
It spend 0.0151 seconds
It spend 0.0339 seconds
It spend 0.0433 seconds
It spend 0.0985 seconds
It spend 0.0650 seconds
It spend 0.0377 seconds
It spend 0.0356 seconds
It spend 0.0341 seconds
It spend 0.0087 seconds
It spend 0.1959 seconds
It spend 0.0272 seconds
It spend 0.0065 seconds
It spend 0.0113 seconds
It spend 0.0169 seconds
It spend 0.0102 seconds
It spend 0.0458 seconds
It spend 0.0214 seconds
It spend 0.0148 seconds
It spend 0.0324 seconds
It spend 0.0207 seconds
It spend 0.0156 seconds
It spend 0.0881 seconds
It spend 0.0304 seconds
It spend 0.0089 seconds
It spend 0.0154 seconds
It spend 0.0207 seconds
It spend 0.0750 seconds
It spend 0.0354 seconds
It spend 0.0230 seconds
It spend 0.1453 seconds
It spend 0.0171 seconds
It spend 0.0130 seconds
It spend 0.1128 seconds
It spend 0.0198 seconds
It spend 0.0093 seconds
It spend 0.0048 seconds
It spend 0.0054 seconds
It spend 0.0284 seconds
It spend 0.0563 seconds
It spend 0.0136 seconds
It spend 0.0213 seconds
It spend 0.0814 seconds
It spend 0.0675 seconds
It spend 0.0431 seconds
It spend 0.0709 seconds
It spend 0.0199 seconds
It spend 0.0089 seconds
It spend 0.1415 seconds
It spend 0.0404 seconds
It spend 0.0597 seconds
It spend 0.0514 seconds
It spend 0.0456 seconds
It spend 0.0566 seconds
It spend 0.0295 seconds
It spend 0.0135 seconds
It spend 0.0210 seconds
It spend 0.0588 seconds
It spend 0.0090 seconds
It spend 0.0211 seconds
It spend 0.0058 seconds
It spend 0.0492 seconds
It spend 0.0237 seconds
It spend 0.0466 seconds
It spend 0.0415 seconds
It spend 0.0047 seconds
It spend 0.0113 seconds
It spend 0.0418 seconds
It spend 0.0359 seconds
It spend 0.0056 seconds
It spend 0.0104 seconds
It spend 0.0414 seconds
It spend 0.0257 seconds
It spend 0.0401 seconds
It spend 0.0332 seconds
It spend 0.0100 seconds
It spend 0.0248 seconds
It spend 0.0075 seconds
It spend 0.0266 seconds
It spend 0.0064 seconds
It spend 0.0190 seconds
Finished all boards in file.
